composer.name;composer.gender;composer.bornYear;composer.bornDeath;composer.mainInstrument;
Abel Ferreira;M;1915;1980;Sax;
Afonso Marchado;M;1954;-;Bandolim;
Alberto Marino;M;1902;1967;Violino;
Alberto Ribeiro;M;1902;1971;Violão/Canto;
Alcyr Pires Vermelho;M;1906;1994;Piano;
Aldir Blanc;M;1946;-;-;
Almanyr Grego;M;1909;1995;-;
Altamiro Carrilho;M;1924;2012;Flauta;
Alvaiade;M;1913;1981; Canto/Cavaquinho;
Anacleto de Medeiros;M;1866;1907; Sax Soprano;
André Victor Corrêa;M;1888;1948;Letrista/Sax;
Antonio Adolfo;M;1947;-;Piano;
Antonio Gismonti;M;;;Piano;
Aristides Borges;M;1884;1946;Piano;
Armandinho;M;1953;-;Bandolim;
Ary Barroso;M;1903;1964;Piano;
Ary Santos;M;;;;
Ary dos Santos;M;1937;1984;-;
Astor Silva;M;1922;1968;Trombone;
Ataulpho Alves (junior?);M;1943;-;Cantor;
Attílio Bernardini;M;1888;1975;Violão ;
Augustin Barrios;M;1885;1944;Violão;
Augusto Cezar;M;;;;
Avena de Castro;M;1919;1981;Citara;
Baden Powell;M;1937;2000;Violão;
Belmacio Pousa Godinho;M;1892;1980;Flauta;
Benedito Lacerda;M;1903;1958;Flauta;
Biliano;M;;;(ver: Bonicrates de muleta);
Bonfiglio de Oliveira;M;1891;1940;Trompete;
Bororó;M;1898;1986;Violão;
Báldoman;M;;;;
Candido Pereira da Silva;M;1879;1960;Trombone;
Candinho;M;1934;-;Violão;
Canhotinho;M;1928;-;Acordeon;
Canhoto;M;1889;1928;Violão;
Canhoto da Paraíba;M;1928;2008;Violonista;
Capiba;M;1904;1997;Piano;
Capitão Furtado;M;1907;1979;Canto ;
Carioca(Ivan Paulo da Silva);M;1910;1991;Trombone;
Carlos Lafelice;M;;-;Violão;
Carlos Lyra;M;1939;-; Canto;
Carolina Cardoso de Menezes;F;1916;1999;Piano;
Carramona;M;1874;1929;Trompete;
Catulo da Paixão Cearense;M;1863;1946;-;
Celsinho Silva;M;1957;-;Pandeirista;
Cesar Camargo Mariano;M;1943;-;Piano;
Chico Buarque;M;1944;-;Letrista/Canto;
Chiquinha Gonzaga;M;1847;1935;Piano;
Claudio Camunguelo;M;1947;2007;Flauta;
Claudionor Cruz;M;1910;1995; Violão;
Copinha;M;1910;1984; Flauta/Clarineta/Saxofone;
Cristóvão Bastos;M;1946;-;Piano;
Custódio Mesquita;M;1910;1945;Piano;
Dante Santoro;M;1904;1969;Flauta;
Del Loro;M;;;;
Deo Rian;M;1944;;Bandolim;
Dilermando Reis;M;1916;1977;Violão;
Dininho;M;1949;-;Contrabaixo ;
Dino;M;1918;2006;Violão 7 Cordas;
Domingos Pecci;M;1910;-;Saxofone/Clarineta;
Domingos Semenzato;M;;;;
Donga;M;1890;1974; Violão;
Durval Ferreira;M;1935;2007;Violão/Guitarra;
Ed Lincoln;M;1932;2012;Contrabaixo/Piano;
Edu Lobo;M;1943;-;Violão/Letrista;
Eduardo Neves;M;1968;-;Flauta/Sax;
Eduardo Souto;M;1882;1942;Piano;
El Gaúcho;M;;(checar: anjos do inferno);;
Elton Medeiros;M;1930;-;Sax/Trombone;
Erika Rego;F;;;;
Ernesto Nazareth;M;1863;1934;Piano;
Erothides de Campos;F;1896;1945;Flauta/Clarineta/Violão/Piano;
Esmeraldino Salles;M;;;Cavaquinho;
Eurico Barreiros;M;;;-;
Everardo Baia;M;;;;
Freire Júnior;M;1881;1956;Piano;
Felipe Tedesco;M;;;;
Fernando Costa;M;1951;-;Contrabaixo/Piano;
Fernando Magalhães;M;1964;-;Guitarra;
Fon-fon;M;1908;1951;Saxofone ;
Francis Hime;M;1939;-;Piano;
Francisco Mignone;M;1897;1986;Flauta/Piano;
Fábio de Oliveira;M;;;;
Gadé;M;1904;1969;Piano;
Garoto;M;1915;1955;Multiinstrumentista;
