piece.title;piece.city;piece.year;piece.composer.one;piece.composer.two;
A bicada do tico tico;;;Gaudio Viotti;;
A coisa melhorou;;;Heitor dos Prazeres;;
A ginga do mané;;;Jacob do Bandolim;;
A menina do sobrado;;;Zequinha Reis;;
A moçada no samba;;;Tico-Tico;;
A serpente e o pastor;;;Paraguassú;Capitão Furtado;
A vida é um buraco;;;Pixinguinha;;
Abismo de rosas;;;Canhoto;;
Abraçando jacaré;;;Pixinguinha;;
Acariciando;;;Abel Ferreira;;
Acerta o passo;;;Pixinguinha;Benedito Lacerda;
Aeroporto do Galeão;;;Altamiro Carrilho;;
Agradecendo;;;Pixinguinha;;
Aguenta o leme;;;José Maria de Abreu;;
Aguenta seu Fulgêncio;;;Jacob do Bandolim;Lourenço Lamartine;
Aguente Felipe;;;Luíz dos Santos;Nascim Filho;
Ah! Cavaquinho!;;;Erothides de Campos;;
Ainda me recordo;;;Pixinguinha;Benedito Lacerda;
Alma;;;Waldyr Azevedo;;
Alma brasileira;;;Fernando Magalhães;;
Alvorada;;;Jacob do Bandolim;;
Amarelinho;;;Téo de Oliveira;Elton Medeiros;
Ameno Resedá;;;Ernesto Nazareth;;
Amigo bandolim;;;Cristóvão Bastos;;
Amor e medo;;;Zequinha Abreu;;
Amor não se compra;;;Bonfiglio de Oliveira;;
Amoroso;;;Garoto;Luiz Bittencourt;
Amphibious;;;Moacyr Santos;;
Ande ligeiro;;;Pixinguinha;;
André de sapato novo;;;André Victor Corrêa;;
Annita;;;Chiquinha Gonzaga;;
Ano novo;;;Rildo Hora;;
Ansiedade;;;Rossini Ferreira;;
Ao nosso amigo Esmê;;;Laércio de Freitas;;
Apanhei-te cavaquinho;;;Ernesto Nazareth;Báldoman;
Apanhei-te cavaquinho;;;Ernesto Nazareth;;
Araponga;;;Luiz Gonzaga;;
Arranca toco;;;Jayme Florence;;
Ary no choro;;;Lirio Panicali;;
As proesas de Nolasco;;;Pixinguinha;;
Assanhado;;;Jacob do Bandolim;;
Assim mesmo;;;Luiz Americano;;
Atencioso;;;Pixinguinha;;
Atlântico;;;Ernesto Nazareth;;
Atraente;;;Mesquita;Luiz Americano;
Atraente;;;Chiquinha Gonzaga;;
Az de ouro;;;João Ricardo;Paulo Henrique;Fumaça
B.H.;;;Sylvio Mazzucca;;
Bate boca;;;Tom Jobim;;
Batuque;;;Henrique Alves de Mesquita;;
Beliscando;;;Paulinho da Viola;;
Bem-te-vi atrevido;;;Lina Pesce;;
Benzinho;;;Jacob do Bandolim;;
Bicho carpinteiro;;;Ângelo Reale;;
Bingo;;;Dilermando Reis;;
Bole-bole;;;Jacob do Bandolim;;
Bom senso;;;Pixinguinha;Fábio de Oliveira;
Boneca;;;Benedito Lacerda;;
Bonicrates de muletas;;;Jacob do Bandolim;Biliano;
Bons tempos;;;Milton d'Agostino;;
Bordões ao luar;;;Tia Amélia;;
