collection.title;collection.author;collection.publisher;collection.volume;collection.code;idcode.pieceNumber;piece.title;piece.city;piece.year;piece.composer.one;piece.composer.two;
O Melhor de Pixinguinha;;;;OMP;1;Abraçando jacaré;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;2;A vida é um buraco;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;3;Agradecendo;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;4;Ainda me recordo;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;5;Atencioso;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;6;Ande ligeiro;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;7;Bom senso;;;Pixinguinha;Fábio de Oliveira;
O Melhor de Pixinguinha;;;;OMP;8;As proesas de Nolasco;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;9;Canto em rodeio;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;10;Cascatinha;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;11;Carinhoso;;;Pixinguinha;João de Barro;
O Melhor de Pixinguinha;;;;OMP;12;Cheguei;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;13;Chorando sempre;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;14;Chorei;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;15;Concerto de baterias;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;16;Cuidado colega;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;17;Descendo a serra;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;18;Choro de gafieira;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;19;Desprezado;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;20;Destino da rosa;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;21;Devagar e sempre;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;22;Diabólica;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;23;Dininha;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;24;Dominó;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;25;Ele e eu;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;26;É isso mesmo;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;27;Fonte abandonada;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;28;Gargalhada;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;29;Homenagem à flor margarida;;;Pixinguinha;Fábio de Oliveira;
O Melhor de Pixinguinha;;;;OMP;30;Ingênuo;;;Pixinguinha;Benedito Lacerda;Paulo César Pinheiro
O Melhor de Pixinguinha;;;;OMP;31;Generoso;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;32;Joaquim virou padre;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;33;Lamentos;;;Pixinguinha;Vinícius de Moraes;
O Melhor de Pixinguinha;;;;OMP;34;Minha vez;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;35;Naquele tempo;;;Pixinguinha;Benedito Lacerda;Fábio de Oliveira
O Melhor de Pixinguinha;;;;OMP;36;Não vou nessa;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;37;Os 8 batutas;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;38;Oscarina;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;39;Pagão;;;Pixinguinha;Benedito Lacerda;
O Melhor de Pixinguinha;;;;OMP;40;Parangolé;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;41;Passa tempo;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;42;Os cinco companheiros;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;43;Jurando falso;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;44;Quem é você;;;Pixinguinha;;
O Melhor de Pixinguinha;;;;OMP;45;Rir pra não chorar;;;Pixinguinha;;
